Property Number,Borough Code,Sign Name,,,,,,,,Category,Site Amenities,,,Sector Name,,Sector Desc.,,,Functional Acreage,Total Acreage,,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)",,"FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)",,"FY18 Q2
(Oct - Dec 2017)",,,"FY18 Q3
(Jan - Mar 2018)",,"FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)"
Q032,Q,McKenna Triangle,,,,,,,,Small Park,,,,Queens Sector 1.2,,"Districts 1, 2",,,0.01,0.01,,1,2,,1,2,15.00,,35.00,,,18.00,,34.00,,1.7,1.8,1.7,3.1,,No,No,No,No,0.00,69.00,0.00,52.00
Q124,Q,Myrtle Avenue Clemens Triangle,,,,,,,,Small Park,,,,Queens Sector 5.6,,"Districts 5, 6",,,0.01,0.01,,1,1,,1,1,8.00,,10.00,,,21.00,,15.00,,2.4,1.1,2.1,1.6,,No,No,No,No,0.00,0.00,0.00,194.00
B278,B,Sam Leggio Triangle,,,,,,,,Small Park,,,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.01,0.01,,,1,,1,,6.00,,9.00,,,13.00,,7.00,,1.1,1.1,1.3,1.0,,No,No,No,No,,,,
Q072,Q,Short Triangle,,,,,,,,Small Park,,,,Queens Sector 1.2,,"Districts 1, 2",,,0.01,0.01,,1,1,,1,2,16.00,,24.00,,,24.00,,43.00,,1.8,2.2,2.3,3.8,,No,No,No,No,,,,
Q068,Q,Triangle 90,,,,,,,,Small Park,,,,Queens Sector 3.4,,"Districts 3, 4",,,0.01,0.01,,1,1,,1,2,15.00,,11.00,,,11.00,,28.00,,3.4,3.0,2.5,5.2,,No,No,No,No,87.00,65.00,0.00,34.00
Q079,Q,Wellbrock Triangle,,,,,,,,Small Park,,,,"Queens Sector
10.12",,"Districts 10, 12",,,0.01,0.01,,1,3,,4,4,23.00,,46.00,,,62.00,,62.00,,3.6,4.5,5.5,5.1,,No,No,No,No,202.00,0.00,0.00,0.00
B166,B,Belt Parkway/Shore Parkway,,,,,,,,Large Park,"Athletic
Facilities,Natural Areas,Trails",,,"Brooklyn
Sector 11.15",,"Districts 11, 15",,,0.01,760.43,,4,1,,1,3,49.00,,24.00,,,18.00,,48.00,,2.0,2.0,1.4,1.6,,No,No,No,No,266.00,1430.00,0.00,0.00
B544,B,100 Quincy Street Community Garden,,,,,,,,,,,,"Brooklyn
Sector 3.4",,"Districts
3, 4",,,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M397,M,11 BC Serenity Garden,,,,,,,,,,,,"Manhattan
Sector 3",,District 3,,,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,5.00,0.00,0.00,0.00
M382,M,110th Street Block Association Garden,,,,,,,,,,,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,0.00,0.05,,,1,,,,,,10.00,,,,,,,,1.0,,,,,No,,,,,,
M331,M,117th St Community Garden,,,,,,,,Small Park,,,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,0.00,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M296,M,132 St Block Association Park,,,,,,,,Small Park,,,,"Manhattan Sector
10.11",,"Districts 10, 11",,,0.00,0.17,,,,,,,,,,,,,,,,,,,,,,,,,0.00,77.00,0.00,77.00
X277,X,138th St. Community Garden,,,,,,,,Small Park,,,,Bronx Sector 1.2,,"Districts 1, 2",,,0.00,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M177 71,M,14 Honey Locusts Park,,,,,,,,Small Park,,,,"Manhattan Sector
6.8.15",,"Districts 6, 8, 15",,,0.00,0.30,,1,2,,2,2,19.00,,27.00,,,28.00,,28.00,,5.9,5.8,6.3,4.7,,Yes,No,Yes,Yes,0.00,0.00,0.00,349.00
X324,X,176th Street Community Garden,,,,,,,,Small Park,,,,Bronx Sector 7.8,,"Districts 7, 8",,,0.00,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B535,B,400 Montauk Av Block Assn,,,,,,,,Small Park,,,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.00,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X360,X,5 Borough Shops,,,,,,,,"Prope
rty",,,,"Bronx
Sector 1.2",,"Districts
1, 2",,,0.00,1.33,,,,,,,,,,,,,,,,,,,,,,,,,38125.00,44040.00,41138.00,41481.00
M313A,M,5th St Slope Garden,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.00,0.10,,,,,,,,,,,,,,,,,,,,,,,,,5.00,77.00,0.00,35.00
B553,B,61 Franklin St Garden,,,,,,,,"Prope
rty",,,,"Brooklyn
Sector 1",,District 1,,,0.00,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M313,M,6BC Botanical Garden,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.00,0.18,,,,,,,,,,,,,,,,,,,,,,,,,5.00,0.00,0.00,0.00
M293,M,6th St and Ave B Community Garden,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.00,0.39,,,,,,,,,,,,,,,,,,,,,,,,,5.00,39.00,0.00,77.00
B438,B,700 Decatur St Block Association,,,,,,,,Small Park,,,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.00,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X351,X,811 Family and Friends Garden,,,,,,,,,,,,"Bronx
Sector 1.2",,"Districts
1, 2",,,0.00,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q495,Q,97th Street Block Association,,,,,,,,Small Park,,,,Queens Sector 3.4,,"Districts 3, 4",,,0.00,0.06,,8,,,8,,198.00,,,,,103.00,,,,1.0,,1.0,,,Yes,,Yes,,,,,
M312,M,9th St Community Garden Park,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.00,0.48,,,,,5,,,,,,,22.00,,,,,,1.0,,,,,No,,5.00,39.00,0.00,35.00
B507,B,A Better Community Garden,,,,,,,,Small Park,,,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.00,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X350,X,"A. Badillo Community Rose Garden and
Park",,,,,,,,,,,,"Bronx
Sector 3.6",,"Districts
3, 6",,,0.00,0.27,,,,,,1,,,,,,,,9.00,,,,,1.0,,,,,No,,,,
Q470,Q,A.R.R.O.W. Field House,,,,,,,,Small Park,Athletic Facility,,,Queens Sector 1.2,,"Districts 1, 2",,,0.00,0.29,,,,,,,,,,,,,,,,,,,,,,,,,0.00,387.00,0.00,103.00
B336 72,B,Abe Stark Skating Rink,,,,,,,,Other,Athletic Facility,,,"Brooklyn
Sector 13",,"District
13",,,0.00,8.81,,,,,,,,,,,,,,,,,,,,,,,,,870.00,757.00,54.00,514.00
B439,B,All People's Church of the Apostolic Faith Community Garden,,,,,,,,Small Park,,,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.00,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M372,M,Allied Productions/Le Petit Versailles,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,5.00,0.00,0.00,0.00
B440,B,Amboy Neighborhood Center,,,,,,,,Small Park,,,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.00,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B441,B,American Heart,,,,,,,,Small Park,,,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X339,X,Angie Lee Gonzales Garden,,,,,,,,Small Park,,,,Bronx Sector 3.6,,"Districts 3, 6",,,0.00,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X001,X,Aqueduct Walk,,,,,,,,"Large
Park",,,,"Bronx
Sector 7.8",,"Districts
7, 8",,,0.00,4.93,,2,4,,,17,26.00,,66.00,,,,,303.00,,1.5,2.2,,2.0,,No,No,,Yes,45.00,0.00,0.00,35.00
R133,R,Arbutus Woods Park,,,,,,,,Small Park,,,,"Staten
Island Sector 3",,District 3,,,0.00,2.65,,,,,,,2.00,,7.00,,,3.00,,2.00,,1.1,1.2,1.0,1.0,,No,No,No,No,,,,
B443,B,Atkins Gardeners,,,,,,,,Small Park,,,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.00,0.07,,,,,,,,,,,,,,3.00,,,,,1.0,,,,,No,,,,
Q486,Q,B.C.C.A. Mini-park and Garden,,,,,,,,Small Park,,,,"Queens
Sector 10.12",,"Districts 10, 12",,,0.00,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R003,R,Barrett Park,,,,,,,,Large Park,,,,"Staten
Island Sector 1",,District 1,,,0.00,8.11,,,1,,,,,,12.00,,,,,,,,1.0,,,,,No,,,0.00,52.00,0.00,52.00
Q499,Q,Bay Breeze Park,,,,,,,,,,,,"Queens
Sector 14",,"District
14",,,0.00,3.43,,,,,,1,,,,,,,,10.00,,,,,1.0,,,,,No,,,,
Q387E,Q,Baybridge Green,,,,,,,,Other,,,,"Queens
Sector 7",,District 7,,,0.00,0.32,,,3,,,,,,60.00,,,,,,,,1.0,,,,,No,,,,,,
R137,R,Bayview Terrace Park,,,,,,,,Large Park,,,,"Staten Island
Sector 3",,District 3,,,0.00,16.94,,,,,,,0.00,,0.00,,,1.00,,0.00,,1.1,1.0,1.0,1.0,,No,No,No,No,,,,
B555 1,B,Beaver Noll Park,,,,,,,,"Prope
rty",,,,"Brooklyn
Sector 3.4",,"Districts
3, 4",,,0.00,0.44,,8,7,,,,133.00,,114.00,,,,,3.00,,6.7,6.2,,3.5,,No,No,,No,0.00,0.00,0.00,43.00
Q096 67,Q,Belt Parkway,,,,,,,,Other,,,,"Queens
Sector 10.12",,"Districts 10, 12",,,0.00,202.65,,,,,,,,,,,,,,,,,,,,,,,,,25.00,0.00,0.00,0.00
M091,M,Bennett Rest,,,,,,,,Small Park,Natural Areas,,,"Manhattan Sector
12.12A",,"Districts 12, 12A",,,0.00,3.57,,,,,1,1,,,,,,9.00,,16.00,,,,1.0,1.0,,,,No,No,,,,
B444 73,B,Berry Street Garden,,,,,,,,Small Park,,,,Brooklyn Sector 1,,District 1,,,0.00,0.14,,,,,1,,,,,,,18.00,,,,,,1.0,,,,,Yes,,,,,
B446,B,Big Red Garden,,,,,,,,Small Park,,,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.00,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,279.00
Q487,Q,Block Association #81,,,,,,,,Small Park,,,,"Queens
Sector 10.12",,"Districts 10, 12",,,0.00,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M333,M,Bradhurst Ave Garden,,,,,,,,Small Park,,,,"Manhattan Sector
10.11",,"Districts 10, 11",,,0.00,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R075G,R,Bradys Pond Park,,,,,,,,Large Park,"Natural Areas,Trails",,,"Staten Island Sector
2.2B",,"Districts 2, 2B",,,0.00,6.40,,3,3,,3,3,44.00,,47.00,,,43.00,,43.00,,3.1,3.0,2.9,3.0,,No,No,No,No,,,,
Q464,Q,Brant Point Wildlife Sanctuary,,,,,,,,"Large
Park","Natural Areas,Trails",,,"Queens
Sector 14",,"District
14",,,0.00,19.56,,,,,,,8.00,,5.00,,,4.00,,6.00,,1.1,1.0,1.1,1.0,,No,No,No,No,,,,
X094,X,Bridge Park,,,,,,,,Small Park,,,,Bronx Sector 4.5,,"Districts 4, 5",,,0.00,7.16,,8,4,,2,5,122.00,,57.00,,,32.00,,75.00,,4.2,2.2,1.7,2.1,,No,No,No,No,649.00,90.00,46.00,56.00
M334,M,Brisas Del Caribe,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.00,0.06,,,,,,,,,,,,,,,,,,,,,,,,,5.00,0.00,0.00,0.00
Q478,Q,Broad Channel Wetlands,,,,,,,,"Large
Park",,,,"Queens
Sector 14",,"District
14",,,0.00,37.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X246,X,Brook Park,,,,,,,,Small Park,,,,Bronx Sector 1.2,,"Districts 1, 2",,,0.00,0.76,,,,,3,,,,,,,47.00,,,,,,1.0,,,,,No,,0.00,1196.00,0.00,0.00
R172,R,Brookfield Park,,,,,,,,Large Park,Natural Areas,,,"Staten
Island Sector 3",,District 3,,,0.00,258.72,,,,,2,28,,,,,,25.00,,490.00,,,,1.0,4.6,,,,No,No,0.00,0.00,4676.00,11591.00
B256,B,Brooklyn Academy Of Music,,,,,,,,Other,,,,"Brooklyn
Sector 2",,District 2,,,0.00,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B421,B,Brooklyn Bears Carlton Ave Garden,,,,,,,,Small Park,,,,Brooklyn Sector 2,,District 2,,,0.00,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B422,B,Brooklyn Bears Rockwell Pl Garden,,,,,,,,Small Park,,,,Brooklyn Sector 2,,District 2,,,0.00,0.08,,,,,,,,,,,,,,,,,,,,,,,,,0.00,66.00,0.00,103.00
B010 74,B,Brooklyn Botanic Garden,,,,,,,,Other,,,,"Brooklyn Sector
14.19",,"Districts 14, 19",,,0.00,47.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B223DD,B,Brooklyn Heights Promenade,,,,,,,,Small Park,,,,Brooklyn Sector 2,,District 2,,,0.00,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B223DE,B,Brooklyn Heights Promenade,,,,,,,,Small Park,,,,Brooklyn Sector 2,,District 2,,,0.00,0.21,,,,,,,,,,,,,,,,,,,,,,,,,0.00,729.00,0.00,0.00
B223DF,B,Brooklyn Heights Promenade,,,,,,,,Small Park,,,,Brooklyn Sector 2,,District 2,,,0.00,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B223DG,B,Brooklyn Heights Promenade,,,,,,,,Small Park,,,,Brooklyn Sector 2,,District 2,,,0.00,0.32,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,9.00
B223DJ,B,Brooklyn Heights Promenade,,,,,,,,Small Park,,,,Brooklyn Sector 2,,District 2,,,0.00,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B048 75,B,Brooklyn Museum,,,,,,,,Other,,,,"Brooklyn Sector
14.19",,"Districts 14, 19",,,0.00,12.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B566,B,Brownsville Community Farm,,,,,,,,,,,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.00,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B554,B,Brownsville Green,,,,,,,,Prope rty,,,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X315,X,Bryant Hill Garden,,,,,,,,Small Park,,,,Bronx Sector 1.2,,"Districts 1, 2",,,0.00,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B561,B,BSCAH Urban Farm,,,,,,,,,,,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.00,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R132,R,Bunker Ponds Park,,,,,,,,Large Park,"Natural Areas,Trails",,,"Staten
Island Sector 3",,District 3,,,0.00,36.69,,,1,,,,4.00,,9.00,,,4.00,,4.00,,1.1,1.2,1.2,1.0,,No,No,No,No,,,,
M359,M,Campos Garden,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.00,0.12,,,,,,,,,,,,,,,,,,,,,,,,,5.00,0.00,0.00,0.00
R152,R,Carlton Park,,,,,,,,,,,,"Staten
Island Sector 3",,District 3,,,0.00,1.25,,,,,,,0.00,,0.00,,,0.00,,0.00,,1.0,1.0,1.0,1.0,,No,No,No,No,0.00,0.00,0.00,76.00
M388,M,Carolina Garden,,,,,,,,,,,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,0.00,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B447,B,Causa Festival Garden,,,,,,,,Small Park,,,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.00,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B448,B,Cedar Tree Garden,,,,,,,,Small Park,,,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.00,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X363,X,Centro Cultural Garden,,,,,,,,,,,,"Bronx
Sector 1.2",,"Districts
1, 2",,,0.00,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M374,M,CEP Community Garden,,,,,,,,Small Park,,,,"Manhattan Sector
10.11",,"Districts 10, 11",,,0.00,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B568,B,Change Garden,,,,,,,,,,,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.00,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M402,M,Chelsea Green,,,,,,,,,,,,"Manhattan
Sector 4.5",,"Districts
4, 5",,,0.00,0.23,,1,2,,2,1,14.00,,22.00,,,25.00,,21.00,,2.3,2.9,4.0,4.3,,No,No,No,No,,,,
M260 1,M,Chelsea Recreation Center,,,,,,,,Other,,,,"Manhattan
Sector 4.5",,"Districts
4, 5",,,0.00,0.39,,1,,,20,,11.00,,6.00,,,282.00,,,,1.8,1.4,1.0,,,No,No,Yes,,408.00,0.00,894.00,0.00
M113A,M,Children's Garden,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.00,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.00,5.00,0.00,0.00
M396,M,Children's Magical Garden,,,,,,,,,,,,"Manhattan
Sector 3",,District 3,,,0.00,0.07,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5.00,0.00,0.00
B224A,B,Citizens For A Better Community,,,,,,,,Small Park,,,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.00,0.30,,8,,,,12,103.00,,,,,,,140.00,,1.0,,,1.0,,Yes,,,Yes,,,,
X279,X,City Island Wetlands,,,,,,,,Large Park,Natural Areas,,,"Bronx Sector
15.15A",,"Districts 15, 15A",,,0.00,8.01,,,,,,1,,,,,,,,22.00,,,,,2.5,,,,,No,,,,
B450,B,Clara's Garden,,,,,,,,Small Park,,,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.00,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X321,X,Claremont Neighborhood Garden,,,,,,,,Small Park,,,,Bronx Sector 4.5,,"Districts 4, 5",,,0.00,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q010,Q,Clearview Park Golf Course,,,,,,,,"Large
Park",,,,"Queens
Sector 7",,District 7,,,0.00,110.93,,,,,,,,,,,,,,,,,,,,,,,,,0.00,56.00,0.00,0.00
B451,B,Clifton Pl Memorial Park and Garden,,,,,,,,Small Park,,,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.00,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M281,M,Clinton Community Garden,,,,,,,,Small Park,,,,Manhattan Sector 4.5,,"Districts 4, 5",,,0.00,0.35,,1,1,,1,1,14.00,,8.00,,,15.00,,10.00,,2.0,1.5,2.2,2.0,,No,No,No,No,0.00,26.00,0.00,52.00
X358,X,College Avenue Greenthumb,,,,,,,,,,,,"Bronx
Sector 1.2",,"Districts
1, 2",,,0.00,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M305,M,Collyer Brothers Park,,,,,,,,Small Park,,,,"Manhattan Sector
10.11",,"Districts 10, 11",,,0.00,0.03,,5,6,,4,4,65.00,,73.00,,,48.00,,48.00,,5.4,4.8,3.8,4.4,,No,No,No,No,,,,
M342,M,Community Garden Association,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.00,0.02,,,,,,,,,,,,,,,,,,,,,,,,,986.00,0.00,0.00,0.00
B526,B,Community Group of 349 Elton Street,,,,,,,,Small Park,,,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.00,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M335,M,Community Of Poor People In Action,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.00,0.06,,,,,,,,,,,,,,,,,,,,,,,,,5.00,0.00,0.00,0.00
B520,B,Concerned Citizens of Grove Street,,,,,,,,Small Park,,,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.00,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B452,B,Concerned Residents of Barbey Street,,,,,,,,Small Park,,,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.00,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B453,B,Concerned Residents of Montauk Avenue,,,,,,,,Small Park,,,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.00,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B454,B,Cooper St Block Buster Association,,,,,,,,Small Park,,,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.00,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q172,Q,Corona Plaza,,,,,,,,Small Park,,,,Queens Sector 3.4,,"Districts 3, 4",,,0.00,0.04,,8,,,,,8.00,,,,,,,2.00,,4.8,,,1.0,,Yes,,,No,87.00,0.00,0.00,0.00
Q474A,Q,Corona Taxpayers Association,,,,,,,,,,,,"Queens
Sector 3.4",,"Districts
3, 4",,,0.00,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X338,X,Courtlandt Avenue Association Garden,,,,,,,,Small Park,,,,Bronx Sector 1.2,,"Districts 1, 2",,,0.00,0.17,,2,,,,,25.00,,3.00,,,,,,,1.0,1.0,,,,No,No,,,,,,
R135 1,R,Crescent Beach Park,,,,,,,,Large Park,"Natural Areas,Playground,T
rails",,,"Staten Island
Sector 3",,District 3,,,0.00,110.96,,2,3,,1,3,37.00,,57.00,,,20.00,,50.00,,4.8,5.6,3.3,5.0,,No,No,No,No,,,,
B455,B,Crystal Wells Block Association,,,,,,,,Small Park,,,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.00,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X340,X,CS 134 Community Improvement Garden,,,,,,,,Small Park,,,,Bronx Sector 3.6,,"Districts 3, 6",,,0.00,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q505,Q,Culinary Kids Garden,,,,,,,,,,,,"Queens
Sector 14",,"District
14",,,0.00,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B569,B,Cypress Hills Change Garden,,,,,,,,,,,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.00,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X326,X,Daly Ave Garden,,,,,,,,Small Park,,,,Bronx Sector 3.6,,"Districts 3, 6",,,0.00,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X343,X,Davidson Ave. Community Gardeners Group,,,,,,,,Small Park,,,,Bronx Sector 7.8,,"Districts 7, 8",,,0.00,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M336,M,De Colores Community Yard and Cultural Center,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.00,0.07,,,,,,,,,,,,,,,,,,,,,,,,,5.00,39.00,0.00,35.00
M323,M,Diamante Garden,,,,,,,,Small Park,,,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,0.00,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M337,M,Dias Y Flores,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.00,0.12,,,,,,,,,,,,,,,,,,,,,,,,,5.00,0.00,0.00,0.00
M398,M,Dorothy K. McGowan Memorial Garden,,,,,,,,Prope rty,,,,"Manhattan
Sector 12.12A",,"Districts 12, 12A",,,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q411,Q,Douglaston Park Golf Course,,,,,,,,Large Park,Natural Areas,,,"Queens
Sector 11.13",,"Districts 11, 13",,,0.00,104.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q459,Q,Dubos Point Wildlife Sanctuary,,,,,,,,"Large
Park","Natural Areas,Trails",,,"Queens
Sector 14",,"District
14",,,0.00,53.30,,,,,,,8.00,,5.00,,,4.00,,5.00,,1.1,1.0,1.1,1.0,,No,No,No,No,,,,
Q058,Q,Dunningham Triangle,,,,,,,,Small Park,,,,Queens Sector 3.4,,"Districts 3, 4",,,0.00,0.00,,1,1,,1,2,17.00,,12.00,,,10.00,,25.00,,3.3,3.1,2.9,5.0,,No,No,No,No,363.00,296.00,123.00,0.00
Q232,Q,Dwyer Square,,,,,,,,Small Park,,,,Queens Sector 1.2,,"Districts 1, 2",,,0.00,0.00,,1,,,1,1,8.00,,5.00,,,12.00,,20.00,,2.2,2.3,2.2,4.1,,No,No,No,No,0.00,0.00,131.00,114.00
M026 2,M,Dyckman House Museum,,,,,,,,Other,,,,"Manhattan Sector
12.12A",,"Districts 12, 12A",,,0.00,0.55,,16,7,,4,9,230.00,,90.00,,,52.00,,114.00,,5.8,4.4,4.3,5.4,,No,No,No,No,2996.00,2038.00,1265.00,1513.00
B414 73,B,E 4th Street Garden,,,,,,,,Small Park,,,,Brooklyn Sector 6.7,,"Districts 6, 7",,,0.00,0.18,,1,1,,,,9.00,,13.00,,,5.00,,7.00,,2.5,3.4,1.6,2.5,,No,No,No,No,0.00,88.00,0.00,19.00
B571,B,E. 43 St. Block Assoc. Garden,,,,,,,,,,,,"Brooklyn Sector
17.18",,"Districts 17, 18",,,0.00,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M208B,M,Each One Teach One,,,,,,,,Small Park,,,,"Manhattan Sector
10.11",,"Districts 10, 11",,,0.00,0.06,,31,10,,6,26,409.00,,136.00,,,81.00,,340.00,,5.8,5.5,5.4,6.0,,Yes,Yes,No,Yes,96.00,97.00,0.00,155.00
M324,M,Earth People,,,,,,,,Small Park,,,,Manhattan Sector 3,,District 3,,,0.00,0.11,,,,,,,,,,,,,,,,,,,,,,,,,5.00,39.00,0.00,35.00
B424,B,Earth Spirit Garden,,,,,,,,Small Park,,,,Brooklyn Sector 1,,District 1,,,0.00,0.23,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,40.00
B458,B,East End Community Garden,,,,,,,,Small Park,,,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.00,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B543,B,East New York Farms Garden,,,,,,,,,,,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.00,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B459,B,Eastern Parkway Coalition,,,,,,,,Small Park,,,,Brooklyn Sector 8.9,,"Districts 8, 9",,,0.00,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M327,M,Ebenezer Wesleyan Garden,,,,,,,,Small Park,,,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,0.00,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
